 LOCATOR_GENERAL OUTPUT: 
    User: sscweb
    Date: Thu  4-Dec-2025 (338) 03:56:29
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            mms4           60         1

           Start Time           Stop Time 
           2018  33  0.00000    2018  33 23.99972


 Coord/            Min/Max      Range Filter          Filter
Component   Output Markers    Minimum     Maximum    Mins/Maxes
GSE X        YES      -         -           -             -   
GSE Y        YES      -         -           -             -   
GSE Z        YES      -         -           -             -   
GSE LT       YES      -         -           -             -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YYYY DDD HH:MM:SS
    Degrees/Hemisphere format: Decimal degrees with 2 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Earth radii with 2 place(s).
2018  33 04:31:30      20.08      -9.94       6.24 10:14:40
2018  33 04:32:30      20.09      -9.94       6.24 10:14:42
2018  33 04:33:30      20.09      -9.94       6.24 10:14:45
2018  33 04:34:30      20.10      -9.93       6.24 10:14:48
2018  33 04:35:30      20.11      -9.93       6.25 10:14:51
2018  33 04:36:30      20.11      -9.93       6.25 10:14:53
2018  33 04:37:30      20.12      -9.93       6.25 10:14:56
2018  33 04:38:30      20.13      -9.93       6.25 10:15:00
2018  33 04:39:30      20.13      -9.93       6.26 10:15:02
2018  33 04:40:30      20.14      -9.92       6.26 10:15:04
2018  33 04:41:30      20.15      -9.92       6.26 10:15:07
2018  33 04:42:30      20.15      -9.92       6.26 10:15:10
2018  33 04:43:30      20.16      -9.92       6.26 10:15:13
2018  33 04:44:30      20.17      -9.92       6.27 10:15:15
2018  33 04:45:30      20.17      -9.92       6.27 10:15:18
2018  33 04:46:30      20.18      -9.91       6.27 10:15:21
2018  33 04:47:30      20.19      -9.91       6.27 10:15:23
2018  33 04:48:30      20.19      -9.91       6.28 10:15:26
2018  33 04:49:30      20.20      -9.91       6.28 10:15:29
2018  33 04:50:30      20.21      -9.91       6.28 10:15:32
2018  33 04:51:30      20.21      -9.91       6.28 10:15:34
2018  33 04:52:30      20.22      -9.90       6.28 10:15:37
2018  33 04:53:30      20.23      -9.90       6.29 10:15:40
2018  33 04:54:30      20.23      -9.90       6.29 10:15:43
2018  33 04:55:30      20.24      -9.90       6.29 10:15:45
2018  33 04:56:30      20.25      -9.90       6.29 10:15:48
2018  33 04:57:30      20.25      -9.90       6.30 10:15:51
2018  33 04:58:30      20.26      -9.89       6.30 10:15:53
2018  33 04:59:30      20.27      -9.89       6.30 10:15:56
2018  33 05:00:30      20.27      -9.89       6.30 10:16:00
2018  33 05:01:30      20.28      -9.89       6.30 10:16:02
2018  33 05:02:30      20.29      -9.89       6.31 10:16:04
2018  33 05:03:30      20.29      -9.88       6.31 10:16:07
2018  33 05:04:30      20.30      -9.88       6.31 10:16:10
2018  33 05:05:30      20.31      -9.88       6.31 10:16:12
2018  33 05:06:30      20.31      -9.88       6.32 10:16:15
2018  33 05:07:30      20.32      -9.88       6.32 10:16:18
2018  33 05:08:30      20.33      -9.88       6.32 10:16:20
2018  33 05:09:30      20.33      -9.87       6.32 10:16:23
2018  33 05:10:30      20.34      -9.87       6.32 10:16:26
2018  33 05:11:30      20.35      -9.87       6.33 10:16:29
2018  33 05:12:30      20.35      -9.87       6.33 10:16:31
2018  33 05:13:30      20.36      -9.87       6.33 10:16:34
2018  33 05:14:30      20.36      -9.87       6.33 10:16:37
2018  33 05:15:30      20.37      -9.86       6.34 10:16:39
2018  33 05:16:30      20.38      -9.86       6.34 10:16:42
2018  33 05:17:30      20.38      -9.86       6.34 10:16:45
2018  33 05:18:30      20.39      -9.86       6.34 10:16:47
2018  33 05:19:30      20.40      -9.86       6.34 10:16:50
2018  33 05:20:30      20.40      -9.85       6.35 10:16:53
2018  33 05:21:30      20.41      -9.85       6.35 10:16:55
2018  33 05:22:30      20.42      -9.85       6.35 10:16:58
2018  33 05:23:30      20.42      -9.85       6.35 10:17:01
2018  33 05:24:30      20.43      -9.85       6.35 10:17:03
2018  33 05:25:30      20.43      -9.85       6.36 10:17:06
2018  33 05:26:30      20.44      -9.84       6.36 10:17:09
2018  33 05:27:30      20.45      -9.84       6.36 10:17:12
2018  33 05:28:30      20.45      -9.84       6.36 10:17:14
2018  33 05:29:30      20.46      -9.84       6.36 10:17:17
2018  33 05:30:30      20.47      -9.84       6.37 10:17:20
2018  33 05:31:30      20.47      -9.83       6.37 10:17:22
2018  33 05:32:30      20.48      -9.83       6.37 10:17:25
2018  33 05:33:30      20.49      -9.83       6.37 10:17:28
2018  33 05:34:30      20.49      -9.83       6.38 10:17:30
2018  33 05:35:30      20.50      -9.83       6.38 10:17:33
2018  33 05:36:30      20.50      -9.82       6.38 10:17:36
2018  33 05:37:30      20.51      -9.82       6.38 10:17:38
2018  33 05:38:30      20.52      -9.82       6.38 10:17:41
2018  33 05:39:30      20.52      -9.82       6.39 10:17:44
2018  33 05:40:30      20.53      -9.82       6.39 10:17:46
2018  33 05:41:30      20.54      -9.82       6.39 10:17:49
2018  33 05:42:30      20.54      -9.81       6.39 10:17:52
2018  33 05:43:30      20.55      -9.81       6.39 10:17:54
2018  33 05:44:30      20.55      -9.81       6.40 10:17:57
2018  33 05:45:30      20.56      -9.81       6.40 10:18:00
2018  33 05:46:30      20.57      -9.81       6.40 10:18:02
2018  33 05:47:30      20.57      -9.80       6.40 10:18:05
2018  33 05:48:30      20.58      -9.80       6.40 10:18:07
2018  33 05:49:30      20.58      -9.80       6.41 10:18:10
2018  33 05:50:30      20.59      -9.80       6.41 10:18:13
2018  33 05:51:30      20.60      -9.80       6.41 10:18:15
2018  33 05:52:30      20.60      -9.79       6.41 10:18:18
2018  33 05:53:30      20.61      -9.79       6.41 10:18:21
2018  33 05:54:30      20.62      -9.79       6.42 10:18:23
2018  33 05:55:30      20.62      -9.79       6.42 10:18:26
2018  33 05:56:30      20.63      -9.79       6.42 10:18:29
2018  33 05:57:30      20.63      -9.78       6.42 10:18:31
2018  33 05:58:30      20.64      -9.78       6.43 10:18:34
2018  33 05:59:30      20.65      -9.78       6.43 10:18:37
2018  33 06:00:30      20.65      -9.78       6.43 10:18:39
2018  33 06:01:30      20.66      -9.78       6.43 10:18:42
2018  33 06:02:30      20.66      -9.77       6.43 10:18:44
2018  33 06:03:30      20.67      -9.77       6.44 10:18:47
2018  33 06:04:30      20.68      -9.77       6.44 10:18:50
2018  33 06:05:30      20.68      -9.77       6.44 10:18:52
2018  33 06:06:30      20.69      -9.77       6.44 10:18:55
2018  33 06:07:30      20.69      -9.76       6.44 10:18:58
2018  33 06:08:30      20.70      -9.76       6.45 10:19:00
2018  33 06:09:30      20.71      -9.76       6.45 10:19:03
2018  33 06:10:30      20.71      -9.76       6.45 10:19:05
2018  33 06:11:30      20.72      -9.76       6.45 10:19:08
2018  33 06:12:30      20.72      -9.75       6.45 10:19:11
2018  33 06:13:30      20.73      -9.75       6.46 10:19:13
2018  33 06:14:30      20.74      -9.75       6.46 10:19:16
2018  33 06:15:30      20.74      -9.75       6.46 10:19:19
2018  33 06:16:30      20.75      -9.75       6.46 10:19:21
